qid,question,as_of
q01,What fee do I pay to withdraw crypto from my account?,2026-07-28
q02,I lost my phone and can't complete two-factor authentication. How do I get back into my account?,2026-07-28
q03,How long do I have to dispute a transaction?,2026-07-28
q04,What is the staking reward rate for ETH?,2026-07-28
q05,What is my daily limit if I am on Tier 2?,2026-07-28
q06,Someone moved money out of my account without my permission. How do I report fraud and how fast will you respond?,2026-07-28
q07,How much is the debit card purchase fee?,2026-07-28
q08,How long does a bank deposit take to clear?,2026-07-28
q09,What is the minimum charge on a withdrawal?,2026-07-28
q10,What is the daily transaction cap for a Tier 1 account?,2026-07-28
q11,What was the crypto withdrawal fee in June 2025?,2025-06-01
q12,How many days did a customer have to raise a dispute in March 2026?,2026-03-01
q13,What was the ETH staking rate in March 2026?,2026-03-01
q14,"If I lost my authenticator in September 2025, how was I supposed to recover access?",2025-09-01
q15,Are withdrawals currently paused for maintenance?,2026-07-28
q16,How much referral bonus can I earn if I invite a friend today?,2026-07-28
q17,Is there currently a maintenance window that would delay my outbound transfer?,2026-07-28
q18,Is the invite a friend promotion still running?,2026-07-28
q19,Why is my card purchase taking so long to show up right now?,2026-07-28
q20,When does version 1 of the API stop working?,2026-07-28
q21,When are my annual tax documents available and where do I find them?,2026-07-28
q22,Do you support Dogecoin?,2026-07-28
q23,What is the difference between a market order and a limit order?,2026-07-28
q24,"I added a new withdrawal address, why can't I send to it immediately?",2026-07-28
q25,How many price alerts can I have active at once?,2026-07-28
q26,What happens to my recurring buy if I don't have enough money in the account?,2026-07-28
q27,What is the rate limit for authenticated API requests?,2026-07-28
q28,Can I reopen my account after I close it?,2026-07-28
q29,Is the service available in Brazil?,2026-07-28
q30,"Support emailed me asking for my one time code, is that legitimate?",2026-07-28
q31,Do you offer margin trading with 10x leverage?,2026-07-28
q32,What is the direct phone number for your fraud team?,2026-07-28
q33,Can I pay my electricity bill through the app?,2026-07-28
q34,What is your policy on transferring an account to a beneficiary after the holder dies?,2026-07-28
q35,Can I open a joint account with my spouse?,2026-07-28
q36,What interest rate do you charge on a crypto backed loan?,2026-07-28
q37,Which custodian holds the reserve assets and who audits them?,2026-07-28
q38,How do I dispute a chargeback my own bank raised against me?,2026-07-28
