text,label
How does staking work and what rewards can I expect on Polygon? Please advise.,general
"Hello team, The app won't let me sign in, it just spins on the login screen. Thanks.",account-access
"Hey, My withdrawal of 2 ETH shows completed but I never received it, please reverse it. Appreciate any help.",transaction-dispute
How does staking work and what rewards can I expect on Ethereum? Thanks.,general
"Hi, How long do SOL withdrawals usually take to process?",general
"Please help. I can't log into my account, it keeps saying my password is wrong even after I reset it. Thanks.",account-access
"Hey, Do you support SOL? I don't see it listed anywhere.",general
Is there an app for the Android app? How do I get started? This is time sensitive.,general
"I need help regaining access, my login has been blocked for security reasons. Thanks.",account-access
"My limit order should not have executed at that price, I want the Cardano trade reviewed.",transaction-dispute
Urgent: How long do ETH withdrawals usually take to process? Let me know.,general
What's the difference between a market order and a limit order? This is time sensitive.,general
Urgent: I cancelled my buy order but 1.2 SOL was still taken from my account.,transaction-dispute
"Urgent: My funds are gone, $880 disappeared overnight and I believe this is fraud.",fraud-report
"Hi, The transaction history shows a Litecoin buy I confirmed but the totals don't add up.",transaction-dispute
What's the minimum amount I can buy of Cardano?,general
"Hey, I got a phishing email pretending to be support and I may have entered my credentials. Please advise.",fraud-report
"Quick question, How do I add a beneficiary or change my account details? Thanks.",general
Urgent: Someone withdrew $50 of BTC from my account that I never authorized. Appreciate any help.,fraud-report
How do I enable price alerts for Ethereum? Thanks.,general
Can I set up recurring purchases of SOL every week?,general
"Urgent: Verification keeps failing during login, it never sends me the code. Appreciate any help.",account-access
"Hey, How do I add a beneficiary or change my account details?",general
"Hello team, I sold USDT and received less than the amount I was quoted, please correct it.",transaction-dispute
"I returned a purchase but the $1,000 refund has not shown up in my balance. Let me know.",transaction-dispute
"Hi, I was logged out everywhere and the app won't accept my correct password. Thanks.",account-access
Urgent: I was scammed into sending USDC to someone impersonating your support team. Let me know.,fraud-report
"Hello team, Where can I download my tax documents for last year?",general
"Quick question, I can't log into my account, it keeps saying my password is wrong even after I reset it. This is time sensitive.",account-access
How do I add a beneficiary or change my account details? This is time sensitive.,general
"I think my account was hacked, there are trades on it I never made. This is time sensitive.",fraud-report
"I'm locked out after too many login attempts, how do I get back in? Let me know.",account-access
"Hi, Can you explain how to move Ethereum to an external wallet?",general
"Urgent: The fee on my last Cardano trade is much higher than what was advertised, I dispute it. Please advise.",transaction-dispute
"Hey, I keep getting an 'account disabled' message when I try to open my dashboard. Thanks.",account-access
Can I convert SOL directly into another coin without cashing out? Please advise.,general
"Hello team, I keep getting an 'account disabled' message when I try to open my dashboard. Please advise.",account-access
Urgent: I was scammed into sending Cardano to someone impersonating your support team. Please advise.,fraud-report
"Quick question, A transaction has been stuck in pending for two days and the funds already left my balance.",transaction-dispute
"Verification keeps failing during login, it never sends me the code. This is time sensitive.",account-access
"Hello team, Someone changed my email and drained my BTC balance, this is theft.",fraud-report
"Hey, I need help regaining access, my login has been blocked for security reasons. Appreciate any help.",account-access
The transaction history shows a Ethereum buy I confirmed but the totals don't add up.,transaction-dispute
What documents do I need to raise my account limits?,general
"Urgent: My 2FA isn't working, I got a Android app and can't receive the verification code. This is time sensitive.",account-access
Face ID stopped working on the desktop browser and now I'm stuck at the login prompt. Let me know.,account-access
"Hey, I sold Polygon and received less than the amount I was quoted, please correct it.",transaction-dispute
"The password reset email never arrives, I've checked spam. I need to access my account. Please advise.",account-access
"The password reset email never arrives, I've checked spam. I need to access my account. This is time sensitive.",account-access
"Hey, I returned a purchase but the $300 refund has not shown up in my balance.",transaction-dispute
"Hey, My account is frozen and I need to verify my identity before I can log in. This is time sensitive.",account-access
How long do Bitcoin withdrawals usually take to process?,general
Urgent: Where can I download my tax documents for last year?,general
"Please help. The password reset email never arrives, I've checked spam. I need to access my account. Let me know.",account-access
Please help. How do I update the payment method on file for my account?,general
I lost access to my authenticator app and can't complete two-factor authentication.,account-access
Urgent: I was charged twice for the same Litecoin purchase and want a refund for the duplicate. Please advise.,transaction-dispute
"Hello team, A transaction has been stuck in pending for two days and the funds already left my balance.",transaction-dispute
"Hey, Where can I learn more about how transaction fees are calculated? Thanks.",general
"I never approved this USDC withdrawal, I think someone has my account details. Appreciate any help.",fraud-report
"Hi, My account shows activity at 3am that wasn't me, $10,000 of USDC is missing. This is time sensitive.",fraud-report
"Hello team, I bought $4,500 of USDT but the order shows a different price than I confirmed. Appreciate any help.",transaction-dispute
"Quick question, What's the difference between a market order and a limit order?",general
"Please help. My limit order should not have executed at that price, I want the Litecoin trade reviewed. Appreciate any help.",transaction-dispute
Please help. Is there an app for the Android app? How do I get started?,general
What documents do I need to raise my account limits? Let me know.,general
"Hi, Do you support BTC? I don't see it listed anywhere. Please advise.",general
Please help. Where can I learn more about how transaction fees are calculated? This is time sensitive.,general
"Hello team, An automatic recurring buy executed that I had already turned off, I want it undone.",transaction-dispute
Can I convert Ethereum directly into another coin without cashing out? Appreciate any help.,general
"Hey, Is there an app for the Android app? How do I get started? Thanks.",general
"Hey, The fee on my last Dogecoin trade is much higher than what was advertised, I dispute it. Let me know.",transaction-dispute
The conversion rate applied to my XRP transaction looks wrong and I want it fixed. Appreciate any help.,transaction-dispute
Please help. The conversion rate applied to my SOL transaction looks wrong and I want it fixed.,transaction-dispute
Please help. Can you explain how to move SOL to an external wallet? This is time sensitive.,general
Urgent: I keep getting an 'account disabled' message when I try to open my dashboard.,account-access
"Please help. My funds are gone, $15,000 disappeared overnight and I believe this is fraud. Thanks.",fraud-report
"My Polygon order filled at the wrong amount, I asked for 1.2 SOL not the amount charged.",transaction-dispute
"Hi, Face ID stopped working on the laptop and now I'm stuck at the login prompt.",account-access
"My withdrawal of $300 shows completed but I never received it, please reverse it. This is time sensitive.",transaction-dispute
"My 2FA isn't working, I got a laptop and can't receive the verification code. Let me know.",account-access
"Quick question, I got a phishing email pretending to be support and I may have entered my credentials.",fraud-report
I was charged twice for the same USDT purchase and want a refund for the duplicate. Appreciate any help.,transaction-dispute
"Please help. I need help regaining access, my login has been blocked for security reasons. This is time sensitive.",account-access
"Quick question, Do you support Dogecoin? I don't see it listed anywhere. This is time sensitive.",general
"Hello team, I never approved this Ethereum withdrawal, I think someone has my account details. Appreciate any help.",fraud-report
"Hey, How do I recover my account? I no longer have the email I signed up with. Please advise.",account-access
I cancelled my buy order but $50 was still taken from my account. Thanks.,transaction-dispute
"Hi, My withdrawal of $75 shows completed but I never received it, please reverse it.",transaction-dispute
Face ID stopped working on the new iPhone and now I'm stuck at the login prompt. Let me know.,account-access
"Hey, A transaction has been stuck in pending for two days and the funds already left my balance. Please advise.",transaction-dispute
How do I enable price alerts for SOL? This is time sensitive.,general
I requested a refund three days ago for a failed Cardano deposit and nothing has happened.,transaction-dispute
"Please help. I need help regaining access, my login has been blocked for security reasons.",account-access
"My 2FA isn't working, I got a desktop browser and can't receive the verification code. Appreciate any help.",account-access
"Hi, How do I enable price alerts for Litecoin? Appreciate any help.",general
