qid,answer,doc_ids
q01,"As of 2026-07-28 (kb-013 ""Network and Transfer Charges"", in force 2026-05-01 to present): Transfers out of your account are charged at 0.4% of the transfer amount, plus the network cost quoted at the time you confirm. Outbound fiat transfers to a linked bank account are charged $1.50.",kb-013
q02,"As of 2026-07-28 (kb-022 ""Restoring Access to Your Account"", in force 2026-02-10 to present): SMS based recovery has been discontinued and is no longer offered for any account. Withdrawals remain disabled for 72 hours after a successful restore, as a precaution against account takeover.",kb-022
q03,"As of 2026-07-28 (kb-032 ""Raising a Dispute on a Completed Trade"", in force 2026-07-01 to present): Open the trade in your activity list and choose Raise a dispute, select a reason, and attach supporting evidence. Trades older than 30 days can no longer be disputed through the app, and the case must instead be raised as a formal complaint.",kb-032
q04,"As of 2026-07-28 (kb-042 ""Earn Rates for Supported Assets"", in force 2026-06-01 to present): Earn rates are currently 3.1% APY for ETH, 4.4% APY for SOL and 2.2% APY for ADA. Rates are variable, are reviewed quarterly, and the rate displayed when you stake is not fixed for the life of the position.",kb-042
q05,"As of 2026-07-28 (kb-052 ""Verification Tiers and Transfer Ceilings"", in force 2026-03-15 to present): Transfer ceilings are set by verification tier. Tier 1 is capped at $5,000 per day, Tier 2 at $50,000 per day and Tier 3 at $250,000 per day.",kb-052
q06,"As of 2026-07-28 (kb-062 ""Reporting Unauthorized Activity"", in force 2026-02-01 to present): Unauthorized activity must be reported from the in-app Report activity flow, which is monitored continuously. Filing a report places an automatic 24 hour freeze on outbound transfers while the case is triaged.",kb-062
q07,"As of 2026-07-28 (kb-072 ""Card Funding Charges"", in force 2026-05-01 to present): Funding a purchase with a linked card is charged at 2.49% of the purchase value, applied on top of the quoted spread. Card funded orders are credited instantly.",kb-072
q08,"As of 2026-07-28 (kb-082 ""Funding Your Account by Bank Transfer"", in force 2026-06-15 to present): Bank transfers under $10,000 now clear the same day when they are received before 16:00 UTC on a business day. Transfers at or above $10,000, and any transfer received after the cut off, clear within 1 business day.",kb-082
q09,"As of 2026-07-28 (kb-013 ""Network and Transfer Charges"", in force 2026-05-01 to present): There is no minimum charge. If a transfer fails, both components are returned to your balance automatically within one business day.",kb-013
q10,"As of 2026-07-28 (kb-052 ""Verification Tiers and Transfer Ceilings"", in force 2026-03-15 to present): Transfer ceilings are set by verification tier. Tier 1 is capped at $5,000 per day, Tier 2 at $50,000 per day and Tier 3 at $250,000 per day.",kb-052
q11,"As of 2025-06-01 (kb-012 ""Withdrawal Fees"", in force 2025-01-15 to 2026-04-30): The withdrawal fee for crypto withdrawals is 0.9% of the amount withdrawn, with a minimum charge of $1.00. The withdrawal fee is calculated on the gross amount requested and deducted before the transfer is broadcast.",kb-012
q12,"As of 2026-03-01 (kb-031 ""Transaction Dispute Window"", in force 2024-01-01 to 2026-06-30): You may dispute a transaction within 60 days of the transaction date. To dispute a transaction, open the transaction in your history and choose Dispute this transaction.",kb-031
q13,"As of 2026-03-01 (kb-041 ""Staking Rewards Rates"", in force 2025-02-01 to 2026-05-31): Current staking reward rates are 4.2% APY for ETH, 5.6% APY for SOL and 3.0% APY for ADA. The rate shown on the staking screen at the moment you stake is not locked in for the duration of the stake.",kb-041
q14,"As of 2025-09-01 (kb-021 ""Two-Factor Authentication Recovery"", in force 2024-06-01 to 2026-02-09): If you have lost your phone or lost access to your authenticator app, you can recover two-factor authentication using an SMS backup code sent to the phone number registered on your account. Request the backup code from the login screen, enter it, and then re-enrol a new authenticator device.",kb-021
q15,"No current policy: ""Scheduled Maintenance Notice"" (kb-091) was in force 2026-06-12 to 2026-06-14 and is not in force on 2026-07-28. For reference, it said: Withdrawals and outbound transfers are paused for scheduled maintenance from 2026-06-12 22:00 UTC until 2026-06-14 06:00 UTC.",kb-091
q16,"No current policy: ""Referral Bonus Program"" (kb-092) was in force 2025-11-01 to 2026-03-31 and is not in force on 2026-07-28. For reference, it said: Invite a friend and you both receive a $25 bonus once they complete identity verification and their first trade of at least $100.",kb-092
q17,"No current policy: ""Scheduled Maintenance Notice"" (kb-091) was in force 2026-06-12 to 2026-06-14 and is not in force on 2026-07-28. For reference, it said: Withdrawals and outbound transfers are paused for scheduled maintenance from 2026-06-12 22:00 UTC until 2026-06-14 06:00 UTC.",kb-091
q18,"No current policy: ""Referral Bonus Program"" (kb-092) was in force 2025-11-01 to 2026-03-31 and is not in force on 2026-07-28. For reference, it said: Invite a friend and you both receive a $25 bonus once they complete identity verification and their first trade of at least $100.",kb-092
q19,"As of 2026-07-28 (kb-072 ""Card Funding Charges"", in force 2026-05-01 to present): Funding a purchase with a linked card is charged at 2.49% of the purchase value, applied on top of the quoted spread. Card funded orders are credited instantly.",kb-072
q20,"As of 2026-07-28 (kb-094 ""API Deprecation Notice"", in force 2026-07-01 to 2026-12-31): Version 1 of the public API is deprecated and will stop responding on 2027-01-15. We recommend migrating well before the shutdown date, as no extension is planned.",kb-094
q21,"As of 2026-07-28 (kb-101 ""Tax Documents and Statements"", in force 2025-01-10 to present): Annual tax documents for the previous calendar year are published by February 15 and can be downloaded from the Reports section of your account. We do not provide tax advice and the documents are informational only.",kb-101
q22,"This question is not covered by the knowledge base, so I will not guess - escalating to a human agent.",
q23,"As of 2026-07-28 (kb-103 ""Order Types Explained"", in force 2025-06-01 to present): A limit order executes only at your specified price or better, and rests unfilled until the market reaches it or you cancel it. Stop orders trigger a market order once a trigger price is reached and carry the same price uncertainty as any market order.",kb-103
q24,"As of 2026-07-28 (kb-013 ""Network and Transfer Charges"", in force 2026-05-01 to present): The knowledge base does not directly cover this specific detail. What the closest policy does say: Transfers out of your account are charged at 0.4% of the transfer amount, plus the network cost quoted at the time you confirm.",kb-013
q25,"As of 2026-07-28 (kb-105 ""Price Alerts"", in force 2025-08-01 to present): Price alerts are configured per asset from the asset detail screen. You may set up to 20 active alerts per account.",kb-105
q26,"As of 2026-07-28 (kb-106 ""Recurring Buys"", in force 2025-09-15 to present): Recurring buys can be scheduled daily, weekly, every two weeks or monthly. You may pause or cancel a recurring buy at any time from the Recurring section, and a cancellation takes effect immediately for any execution that has not already started.",kb-106
q27,"As of 2026-07-28 (kb-107 ""Public API Rate Limits"", in force 2026-02-20 to present): Unauthenticated requests to public endpoints are limited to 100 requests per minute per IP address. Authenticated requests are limited to 1,000 requests per minute per API key.",kb-107
q28,"As of 2026-07-28 (kb-108 ""Closing Your Account"", in force 2025-05-01 to present): Before an account can be closed, all balances must be withdrawn or converted, and any open orders cancelled. Request closure from the account settings page.",kb-108
q29,"As of 2026-07-28 (kb-109 ""Regional Availability"", in force 2026-03-01 to present): The service is available in the United Kingdom, the European Economic Area, Brazil, India, Canada and Australia. You must use the entity for the country in which you are resident for tax purposes.",kb-109
q30,"As of 2026-07-28 (kb-110 ""Phishing and Suspicious Messages"", in force 2026-01-20 to present): We never ask for your password, recovery phrase or a one time code, and we never ask you to move funds to a holding wallet for safekeeping. Links in email should be checked against the official domain before being opened, and support will never initiate contact asking you to install remote access software.",kb-110
q31,"As of 2026-07-28 (kb-093 ""Service Degradation Notice"", in force 2026-07-26 to 2026-12-31): Bank transfers, withdrawals and trading are unaffected. This notice remains in force until further notice while the fix is rolled out.",kb-093
